distance|frequency|height|power|angle|carrier
2452.66616522901|38612000000.0|14.0|10.0|277.2|vodafone
2964.9194110389|37422000000.0|32.0|21.0|102.8|vodafone
2964.9194110389|19370000000.0|27.9|27.0|282.8|vodafone
2364.50896395634|85750000000.0|46.0|29.4|71.7|vodafone
2364.50896395634|75750000000.0|14.0|29.4|251.7|vodafone
1136.50999201481|39242000000.0|15.0|3.3|244.2|t-mobile
1136.50999201481|37982000000.0|25.0|3.3|64.2|t-mobile
8156.29776187221|23478000000.0|15.0|25.3|248.9|vodafone
8156.29776187221|22470000000.0|34.0|20.2|68.9|vodafone
1593.78061442093|37926000000.0|15.0|11.3|252.6|t-mobile
1593.78061442093|81500000000.0|33.6|22.9|72.6|t-mobile
5191.71858474865|81500000000.0|15.0|30.9|253.3|t-mobile
5191.71858474865|71500000000.0|15.0|34.9|73.3|t-mobile
709.702948022586|37982000000.0|15.0|4.3|261.5|t-mobile
709.702948022586|39242000000.0|15.0|4.3|81.5|t-mobile
3696.42062517349|37926000000.0|15.0|16.3|264.2|t-mobile
3696.42062517349|39186000000.0|32.0|16.3|84.2|t-mobile
6600.69478056956|37926000000.0|9.0|-10.8|265.8|t-mobile
6600.69478056956|81500000000.0|21.4|34.9|85.7|t-mobile
841.986574137546|38360000000.0|45.0|15.9|86.9|t-mobile
841.986574137546|31899000000.0|15.0|2.6|266.9|t-mobile
7589.64847094558|31899000000.0|30.0|22.6|207.0|t-mobile
7589.64847094558|71500000000.0|25.0|30.9|26.9|t-mobile
4714.54030105075|31899000000.0|35.0|22.6|273.5|t-mobile
4714.54030105075|32711000000.0|80.0|17.6|93.4|t-mobile
672.373798615425|81875000000.0|13.7|26.9|274.3|t-mobile
672.373798615425|38332000000.0|27.5|-1.7|94.3|t-mobile
2220.77912003471|32711000000.0|15.0|16.7|280.6|t-mobile
2220.77912003471|31899000000.0|30.0|12.6|100.6|t-mobile
1522.10450469995|38780000000.0|15.0|7.1|282.6|unknown
1522.10450469995|37520000000.0|23.7|7.1|102.6|unknown
9640.61798759983|23254000000.0|15.0|27.9|28.5|t-mobile
9640.61798759983|38570000000.0|27.0|5.0|208.5|t-mobile
2381.10466940572|37926000000.0|15.0|14.3|295.5|t-mobile
2381.10466940572|39186000000.0|37.5|14.3|115.5|t-mobile
6427.37235549873|39186000000.0|37.0|8.3|298.6|t-mobile
6427.37235549873|39242000000.0|24.0|23.2|118.5|t-mobile
3716.73204702885|39242000000.0|15.0|18.3|303.8|t-mobile
3716.73204702885|37982000000.0|65.0|18.3|123.8|t-mobile
5853.48546808984|74000000000.0|15.0|34.9|306.6|t-mobile
5853.48546808984|84000000000.0|35.0|30.9|126.6|t-mobile
1042.96561760272|32711000000.0|15.0|5.6|31.3|t-mobile
1042.96561760272|38472000000.0|77.0|2.0|211.3|t-mobile
1597.32047312422|32711000000.0|15.0|5.6|315.8|t-mobile
1597.32047312422|31899000000.0|28.0|5.6|135.8|t-mobile
5061.51567617706|31899000000.0|15.0|19.6|319.6|t-mobile
5061.51567617706|32711000000.0|25.0|19.6|139.6|t-mobile
1540.02365301929|37982000000.0|15.0|5.5|320.6|t-mobile
1540.02365301929|39242000000.0|27.0|5.5|140.6|t-mobile
1007.33946621948|81875000000.0|15.0|22.9|152.8|t-mobile
1007.33946621948|71875000000.0|15.0|22.9|332.8|t-mobile
2365.40583646611|32711000000.0|15.0|10.6|328.2|t-mobile
2365.40583646611|31899000000.0|33.5|10.6|148.2|t-mobile
1330.649040233|37422000000.0|26.0|20.0|328.8|t-mobile
1330.649040233|39186000000.0|35.0|6.3|148.8|t-mobile
4385.91378546481|31955000000.0|37.5|15.6|150.1|t-mobile
4385.91378546481|32767000000.0|15.0|15.6|330.2|t-mobile
2590.60188509223|39186000000.0|15.0|9.3|340.7|t-mobile
2590.60188509223|37926000000.0|53.1|9.3|160.7|t-mobile
8390.35797592178|22246000000.0|15.0|22.1|349.0|t-mobile
8390.35797592178|23254000000.0|29.0|25.9|169.0|t-mobile
2984.07385568744|84000000000.0|30.0|30.9|354.1|t-mobile
2984.07385568744|31899000000.0|35.0|15.6|174.1|t-mobile
1633.35270133381|31899000000.0|15.0|7.6|354.6|t-mobile
1633.35270133381|71875000000.0|35.0|22.9|174.6|t-mobile
2661.17990019907|32711000000.0|15.0|15.6|356.7|t-mobile
2661.17990019907|31899000000.0|40.0|15.6|176.7|t-mobile
2247.09466628638|71875000000.0|32.4|22.9|3.5|vodafone
2247.09466628638|85750000000.0|28.0|28.4|183.6|vodafone
2961.86653539002|74000000000.0|15.0|30.9|38.2|t-mobile
2961.86653539002|84000000000.0|30.0|30.9|218.2|t-mobile
8083.35383936953|37156000000.0|10.0|21.9|44.8|t-mobile
8083.35383936953|72875000000.0|23.0|32.2|224.9|t-mobile
2232.14767084863|39228000000.0|15.5|10.3|127.3|t-mobile
2232.14767084863|37968000000.0|50.0|10.3|307.3|t-mobile
10551.6165520405|22526000000.0|38.0|20.2|29.0|t-mobile
10551.6165520405|23534000000.0|26.0|20.2|209.0|t-mobile
9954.18569996643|18360000000.0|15.0|28.0|54.1|t-mobile
9954.18569996643|19370000000.0|30.0|28.0|234.1|t-mobile
22702.3940410625|14543000000.0|155.5|17.5|180.4|unknown
22702.3940410625|15271000000.0|12.0|17.5|0.4|unknown
8399.7937226123|22358000000.0|155.5|20.4|292.5|unknown
8399.7937226123|23366000000.0|24.0|20.4|112.4|unknown
19462.0023120003|19040000000.0|15.0|29.1|60.3|t-mobile
19462.0023120003|18030000000.0|52.0|29.1|240.4|t-mobile
2372.90531347462|32711000000.0|37.0|10.6|337.4|t-mobile
2372.90531347462|31899000000.0|32.7|10.6|157.4|t-mobile
9271.66676295755|37422000000.0|43.0|19.0|65.9|t-mobile
9271.66676295755|18140000000.0|38.0|22.0|245.9|t-mobile
13589.7618647889|19590000000.0|157.0|24.4|357.9|unknown
13589.7618647889|23422000000.0|30.0|24.3|177.9|unknown
1520.85472899733|81875000000.0|30.0|22.9|75.9|t-mobile
1520.85472899733|71875000000.0|33.0|22.9|255.9|t-mobile
4564.1391908868|37982000000.0|15.8|24.3|63.9|t-mobile
4564.1391908868|39242000000.0|37.0|24.3|243.9|t-mobile
6078.6244701245|18030000000.0|72.0|27.2|90.6|t-mobile
6078.6244701245|19040000000.0|13.0|22.6|270.7|t-mobile
4078.90539767778|71875000000.0|15.0|22.9|91.1|t-mobile
4078.90539767778|81875000000.0|37.8|22.9|271.2|t-mobile
4759.84974611022|22526000000.0|74.0|21.2|272.3|vodafone
4759.84974611022|23534000000.0|15.0|21.2|92.2|vodafone
669.576022377499|32557000000.0|14.0|20.8|93.3|t-mobile
669.576022377499|73000000000.0|22.0|32.9|273.3|t-mobile
2635.59570152772|85750000000.0|30.0|27.9|94.8|t-mobile
2635.59570152772|37982000000.0|23.0|15.3|274.8|t-mobile
1552.64641644726|32711000000.0|15.0|5.6|96.6|t-mobile
1552.64641644726|31899000000.0|30.0|5.6|276.7|t-mobile
1626.93799922232|38864000000.0|15.0|15.6|97.2|unknown
1626.93799922232|37604000000.0|40.0|15.6|277.2|unknown
2136.7982941057|39186000000.0|15.0|12.3|9.8|t-mobile
2136.7982941057|37926000000.0|37.0|12.3|189.8|t-mobile
1751.65333376058|71500000000.0|36.8|30.9|155.0|unknown
1751.65333376058|81500000000.0|36.8|30.9|335.0|unknown
2368.32467388703|38612000000.0|32.0|8.0|353.6|vodafone
2368.32467388703|37352000000.0|16.0|8.0|173.6|vodafone
840.512922144494|38612000000.0|22.0|6.0|50.2|unknown
840.512922144494|37352000000.0|16.0|6.0|230.2|unknown
958.628017028095|38360000000.0|16.0|7.9|238.8|unknown
958.628017028095|81500000000.0|30.0|21.9|58.8|unknown
3855.40449178179|71500000000.0|16.0|30.9|254.2|t-mobile
3855.40449178179|81500000000.0|25.0|30.9|74.2|t-mobile
4141.36600108927|31955000000.0|32.0|22.6|83.9|t-mobile
4141.36600108927|81500000000.0|16.0|30.9|264.0|t-mobile
1378.34451362291|39186000000.0|16.0|8.3|272.9|t-mobile
1378.34451362291|37926000000.0|30.0|8.3|92.9|t-mobile
1065.05838912537|37982000000.0|16.0|2.3|29.9|t-mobile
1065.05838912537|39242000000.0|16.0|2.3|210.0|t-mobile
4448.7966185411|19480000000.0|70.0|29.3|304.8|t-mobile
4448.7966185411|18085000000.0|30.0|28.1|124.7|t-mobile
916.924561727832|37100000000.0|16.0|17.2|359.6|unknown
916.924561727832|38360000000.0|11.0|17.2|181.0|unknown
3629.95122621917|81500000000.0|15.0|34.9|167.8|t-mobile
3629.95122621917|71500000000.0|30.0|34.9|347.8|t-mobile
1742.61654804828|39186000000.0|16.0|11.3|45.5|t-mobile
1742.61654804828|37926000000.0|120.0|11.3|225.5|t-mobile
1112.72212369143|37926000000.0|16.5|-0.2|277.2|t-mobile
1112.72212369143|39186000000.0|24.5|-0.2|97.2|t-mobile
1531.45709207446|81500000000.0|16.0|25.9|59.8|t-mobile
1531.45709207446|31899000000.0|30.0|5.6|239.8|t-mobile
6971.78414094145|32711000000.0|16.6|22.6|33.0|t-mobile
6971.78414094145|75750000000.0|34.0|28.5|213.1|t-mobile
2034.80616976633|38570000000.0|16.0|12.0|67.6|vodafone
2034.80616976633|22190000000.0|86.5|17.4|247.6|vodafone
6279.39999413548|74750000000.0|16.9|34.9|49.9|t-mobile
6279.39999413548|25361000000.0|84.0|20.2|229.9|t-mobile
6903.22276674005|31899000000.0|30.0|18.6|96.9|unknown
6903.22276674005|32711000000.0|15.0|22.7|277.0|unknown
62531.3133616041|38472000000.0|77.0|2.0|211.3|unknown
62531.3133616041|6286000000.0|45.0|6.9|31.0|unknown
3469.15202480993|39186000000.0|37.0|8.3|298.6|unknown
3469.15202480993|13129000000.0|42.0|27.9|118.6|unknown
945.764493006371|13059000000.0|50.0|19.9|147.8|vodafone
945.764493006371|37422000000.0|31.0|-0.1|327.8|vodafone
1748.84166977463|81875000000.0|25.0|22.9|159.3|t-mobile
1748.84166977463|39242000000.0|35.2|11.3|339.3|t-mobile
4095.81808265063|71875000000.0|17.0|25.9|176.6|t-mobile
4095.81808265063|39242000000.0|23.0|20.3|356.6|t-mobile
9500.37868155909|18333000000.0|12.0|12.9|197.6|vodafone
9500.37868155909|81500000000.0|15.0|30.9|17.6|vodafone
4883.70328267367|37968000000.0|17.0|17.3|287.9|t-mobile
4883.70328267367|39228000000.0|40.0|17.3|107.9|t-mobile
2398.50390658352|37422000000.0|67.0|20.0|119.4|vodafone
2398.50390658352|38682000000.0|17.0|20.0|299.4|vodafone
3279.17428608754|38472000000.0|77.0|2.0|211.3|unknown
3279.17428608754|37212000000.0|17.0|7.1|31.3|unknown
757.864795020456|81500000000.0|17.0|18.9|346.0|t-mobile
757.864795020456|31899000000.0|36.0|-0.5|166.0|t-mobile
1414.31166670268|37198000000.0|35.0|7.0|218.2|unknown
1414.31166670268|38458000000.0|17.0|14.1|38.2|unknown
4448.7966185411|19480000000.0|70.0|29.3|304.8|t-mobile
4448.7966185411|18085000000.0|30.0|28.1|124.7|t-mobile
8892.37578896468|26201000000.0|17.4|22.2|250.6|unknown
8892.37578896468|18875000000.0|83.0|22.6|70.6|unknown
2548.08151673663|38612000000.0|24.0|10.0|230.2|vodafone
2548.08151673663|37352000000.0|17.0|10.0|50.2|vodafone
6583.67195980357|71500000000.0|45.0|34.9|35.8|t-mobile
6583.67195980357|85750000000.0|16.0|24.4|215.8|t-mobile
15299.4095151154|19040000000.0|17.5|29.1|256.5|unknown
15299.4095151154|18030000000.0|37.0|29.1|76.4|unknown
9559.62704941855|81875000000.0|15.0|34.9|175.1|t-mobile
9559.62704941855|18360000000.0|45.0|25.0|355.1|t-mobile
298.115471939194|32711000000.0|15.0|-5.9|266.1|t-mobile
298.115471939194|31899000000.0|17.0|-5.9|86.1|t-mobile
12242.9471384346|81500000000.0|30.0|29.9|282.0|unknown
12242.9471384346|23086000000.0|35.0|25.4|102.0|unknown
987.843887465513|39186000000.0|30.0|-1.8|105.5|vodafone
987.843887465513|37926000000.0|12.5|-1.8|285.5|vodafone
1256.48483339209|38570000000.0|32.0|8.0|288.1|vodafone
1256.48483339209|37310000000.0|18.0|8.0|108.1|vodafone
14808.4391526944|19150000000.0|18.1|24.1|345.3|t-mobile
14808.4391526944|18140000000.0|38.5|24.1|165.2|t-mobile
4807.55239771045|18030000000.0|18.0|13.3|144.6|unknown
4807.55239771045|19040000000.0|28.0|13.3|324.6|unknown
2176.82226471583|37422000000.0|18.0|10.0|159.6|vodafone
2176.82226471583|38682000000.0|14.0|10.0|339.6|vodafone
3546.37343984058|38570000000.0|32.0|21.0|14.3|vodafone
3546.37343984058|37310000000.0|18.0|21.0|194.3|vodafone
15104.2948115422|18140000000.0|18.0|32.3|207.7|t-mobile
15104.2948115422|19150000000.0|120.0|32.3|27.6|t-mobile
23330.4063694093|13073000000.0|18.0|27.9|212.9|t-mobile
23330.4063694093|39186000000.0|29.4|11.3|32.8|t-mobile
2765.88361740875|38570000000.0|18.0|15.0|214.0|vodafone
2765.88361740875|71875000000.0|40.0|30.9|34.0|vodafone
1932.703270389|37982000000.0|25.0|18.3|225.7|t-mobile
1932.703270389|71875000000.0|25.0|23.9|45.7|t-mobile
12231.7769305108|31899000000.0|13.7|7.6|242.3|t-mobile
12231.7769305108|23534000000.0|34.0|18.3|62.3|t-mobile
10714.077825645|18030000000.0|125.0|8.6|72.8|unknown
10714.077825645|19040000000.0|18.0|8.6|252.8|unknown
5015.25580327177|32711000000.0|18.0|20.6|26.8|t-mobile
5015.25580327177|31899000000.0|35.0|20.6|206.8|t-mobile
5755.7598756294|23534000000.0|18.0|17.2|276.9|vodafone
5755.7598756294|81875000000.0|7.0|22.9|96.8|vodafone
3120.61699729226|31899000000.0|18.0|12.6|278.2|t-mobile
3120.61699729226|74375000000.0|30.0|23.9|98.1|t-mobile
2295.24051673152|32711000000.0|15.0|12.6|123.1|t-mobile
2295.24051673152|31899000000.0|18.0|12.6|303.1|t-mobile
6668.59415330941|19150000000.0|18.0|17.0|305.0|t-mobile
6668.59415330941|32711000000.0|39.0|22.6|125.0|t-mobile
1503.34686949866|71500000000.0|40.0|34.9|328.6|t-mobile
1503.34686949866|39172000000.0|23.0|4.3|148.6|t-mobile
14384.5870618372|12919000000.0|18.0|24.9|331.6|unknown
14384.5870618372|13045000000.0|70.0|19.9|151.6|unknown
14812.1008876334|18727000000.0|45.0|10.6|154.4|unknown
14812.1008876334|17717000000.0|18.0|10.6|334.4|unknown
477.845854323135|32711000000.0|18.0|-4.5|344.5|t-mobile
477.845854323135|31899000000.0|60.0|-4.5|164.5|t-mobile
446.548784469169|81875000000.0|25.0|15.9|4.4|t-mobile
446.548784469169|37926000000.0|60.0|3.3|184.4|t-mobile
4069.15479330996|31899000000.0|18.0|14.6|5.0|t-mobile
4069.15479330996|32711000000.0|30.0|14.6|185.0|t-mobile
2945.43462411567|39242000000.0|18.0|14.3|53.5|t-mobile
2945.43462411567|37982000000.0|145.0|14.3|233.5|t-mobile
8782.19589321699|37077000000.0|18.5|13.9|96.8|prorail
8782.19589321699|19645000000.0|32.9|21.4|276.9|prorail
1998.74536859224|23534000000.0|34.0|18.3|62.3|t-mobile
1998.74536859224|31899000000.0|13.7|7.6|242.3|t-mobile
1482.7152637932|38626000000.0|36.0|11.0|249.4|vodafone
1482.7152637932|37366000000.0|18.0|11.0|69.4|vodafone
562.877220878598|32711000000.0|40.0|-0.9|257.0|t-mobile
562.877220878598|31899000000.0|18.0|-0.9|77.0|t-mobile
3449.30638907584|31955000000.0|40.0|12.6|316.2|t-mobile
3449.30638907584|32767000000.0|19.0|12.6|136.1|t-mobile
1083.7460590076|23534000000.0|31.0|18.2|166.5|vodafone
1083.7460590076|22526000000.0|84.0|18.2|346.5|vodafone
3326.1772411514|37422000000.0|46.0|17.0|34.7|vodafone
3326.1772411514|38682000000.0|19.0|17.0|214.8|vodafone
994.194331635342|38570000000.0|19.0|1.0|2.0|vodafone
994.194331635342|37310000000.0|15.0|1.0|182.0|vodafone
2128.9785759119|38570000000.0|19.0|17.0|246.6|vodafone
2128.9785759119|37310000000.0|39.0|17.0|66.6|vodafone
2841.71732415413|22526000000.0|27.0|25.3|323.9|t-mobile
2841.71732415413|23534000000.0|34.0|20.2|143.9|t-mobile
1362.77685430842|71500000000.0|19.0|16.9|345.0|t-mobile
1362.77685430842|75750000000.0|13.0|24.9|165.0|t-mobile
4862.20991152453|81500000000.0|19.5|27.1|329.0|t-mobile
4862.20991152453|71500000000.0|28.0|27.1|149.0|t-mobile
2092.53093370691|38570000000.0|32.0|21.0|73.1|vodafone
2092.53093370691|37310000000.0|17.0|21.0|253.1|vodafone
1065.82928859206|71875000000.0|15.0|22.9|89.7|t-mobile
1065.82928859206|37912000000.0|25.0|4.4|269.7|t-mobile
3068.76409111434|19150000000.0|15.0|24.0|94.0|vodafone
3068.76409111434|22358000000.0|25.0|20.4|274.0|vodafone
365.285458510708|72250000000.0|20.0|2.2|115.0|t-mobile
365.285458510708|82250000000.0|37.0|2.2|295.0|t-mobile
2788.56281465326|31899000000.0|20.1|22.6|141.5|vodafone
2788.56281465326|32711000000.0|43.0|22.6|321.5|vodafone
8906.52698974435|23254000000.0|20.0|22.1|143.2|t-mobile
8906.52698974435|22246000000.0|27.2|22.1|323.2|t-mobile
3870.92160387097|71875000000.0|20.0|22.9|151.9|t-mobile
3870.92160387097|31899000000.0|35.0|13.6|331.9|t-mobile
8515.6189312302|83000000000.0|24.0|25.9|159.8|unknown
8515.6189312302|73000000000.0|35.6|32.9|339.8|unknown
1082.34768880656|32711000000.0|50.0|14.6|164.3|t-mobile
1082.34768880656|75750000000.0|28.0|28.4|344.3|t-mobile
5847.66254521865|32711000000.0|28.0|19.6|250.8|t-mobile
5847.66254521865|31899000000.0|20.1|23.7|70.8|t-mobile
630.670535343264|18663000000.0|51.5|13.6|176.9|unknown
630.670535343264|37310000000.0|31.0|20.0|356.9|unknown
1247.98825655208|37926000000.0|20.0|1.9|185.1|t-mobile
1247.98825655208|39186000000.0|31.0|1.9|5.1|t-mobile
10710.7838290592|74000000000.0|15.0|30.9|187.6|vodafone
10710.7838290592|84000000000.0|20.0|30.9|7.6|vodafone
1254.73513458699|31899000000.0|93.0|18.6|196.9|vodafone
1254.73513458699|32711000000.0|30.5|18.6|16.9|vodafone
2719.39582885361|32711000000.0|20.3|10.6|21.1|t-mobile
2719.39582885361|31899000000.0|20.0|10.6|201.1|t-mobile
2836.45693249215|81500000000.0|20.0|30.9|209.2|t-mobile
2836.45693249215|31899000000.0|40.0|14.6|29.2|t-mobile
3803.65895608768|81500000000.0|20.0|27.1|210.3|t-mobile
3803.65895608768|71500000000.0|20.0|27.1|30.3|t-mobile
2163.67439871518|32711000000.0|20.0|8.6|213.5|t-mobile
2163.67439871518|31899000000.0|25.0|8.6|33.5|t-mobile
2071.12852694981|38682000000.0|34.0|17.0|37.2|vodafone
2071.12852694981|37422000000.0|20.0|17.0|217.2|vodafone
5055.14007157451|31899000000.0|20.0|18.6|217.9|t-mobile
5055.14007157451|32711000000.0|25.0|18.6|37.9|t-mobile
2483.35614979166|37926000000.0|20.2|12.3|244.7|unknown
2483.35614979166|37982000000.0|14.3|24.3|64.7|unknown
738.123802475014|31899000000.0|20.0|-0.5|234.8|t-mobile
738.123802475014|32711000000.0|31.0|-0.5|54.8|t-mobile
1628.91076228877|23478000000.0|32.0|23.2|247.0|t-mobile
1628.91076228877|71500000000.0|30.0|22.9|67.0|t-mobile
2155.72494464864|71500000000.0|30.0|30.9|260.1|unknown
2155.72494464864|39186000000.0|20.0|24.3|80.0|unknown
19283.9282351731|12891000000.0|20.0|26.9|265.9|unknown
19283.9282351731|13213000000.0|39.0|26.9|85.8|unknown
21831.2793763615|18195000000.0|20.0|29.1|272.4|t-mobile
21831.2793763615|19205000000.0|90.0|29.1|92.2|t-mobile
3835.77404125254|72875000000.0|26.6|32.2|277.0|kpn
3835.77404125254|18635000000.0|35.1|20.4|96.9|kpn
1252.00563109552|71875000000.0|35.0|26.9|281.4|t-mobile
1252.00563109552|23534000000.0|22.0|24.9|101.4|t-mobile
8057.44804691582|32711000000.0|20.0|26.7|283.0|t-mobile
8057.44804691582|31899000000.0|37.0|26.7|103.0|t-mobile
6852.06861348891|19150000000.0|20.0|17.0|285.3|t-mobile
6852.06861348891|38570000000.0|27.0|14.0|105.2|t-mobile
2590.76892788391|38570000000.0|20.0|14.0|3.1|vodafone
2590.76892788391|81500000000.0|30.0|34.9|183.1|vodafone
4747.43721735243|37063000000.0|20.0|20.0|320.4|prorail
4747.43721735243|38323000000.0|46.0|20.0|140.4|prorail
5668.968171991|23534000000.0|20.0|20.2|338.1|vodafone
5668.968171991|22526000000.0|48.0|20.2|158.1|vodafone
2675.1979205711|37310000000.0|20.0|17.7|342.4|unknown
2675.1979205711|38626000000.0|34.0|17.7|162.4|unknown
9868.97121150604|23534000000.0|36.0|24.9|34.7|t-mobile
9868.97121150604|22246000000.0|35.5|24.1|214.7|t-mobile
14934.0652364412|18140000000.0|20.0|24.1|35.2|t-mobile
14934.0652364412|19150000000.0|70.0|24.1|215.2|t-mobile
5305.42714794341|23478000000.0|35.0|13.9|177.7|vodafone
5305.42714794341|22470000000.0|20.0|13.9|357.7|vodafone
10771.3043264984|22190000000.0|20.0|19.1|39.3|t-mobile
10771.3043264984|23198000000.0|37.0|22.9|219.4|t-mobile
3356.26460875444|31899000000.0|20.0|11.6|46.1|t-mobile
3356.26460875444|74000000000.0|39.0|34.9|226.1|t-mobile
400.638233685057|23254000000.0|25.0|25.1|232.7|vodafone
400.638233685057|75750000000.0|20.0|13.7|52.7|vodafone
19446.8875499572|19013000000.0|20.0|13.9|54.6|unknown
19446.8875499572|18003000000.0|15.0|13.9|234.7|unknown
9141.57707831501|22190000000.0|20.0|24.1|59.9|t-mobile
9141.57707831501|23198000000.0|12.0|27.9|239.9|t-mobile
2093.83547809834|31899000000.0|17.0|6.6|149.1|t-mobile
2093.83547809834|81875000000.0|23.0|23.9|329.1|t-mobile
5095.29150679274|23198000000.0|20.0|22.7|75.2|t-mobile
5095.29150679274|7456000000.0|45.0|17.2|255.2|t-mobile
643.738720737171|71875000000.0|20.0|16.9|78.2|t-mobile
643.738720737171|37926000000.0|54.0|2.3|258.3|t-mobile
2413.94032514871|37604000000.0|20.8|9.6|230.7|unknown
2413.94032514871|38864000000.0|20.5|9.6|50.7|unknown
3854.43450492813|33173000000.0|20.0|20.3|95.8|unknown
3854.43450492813|32361000000.0|34.5|20.3|275.9|unknown
5785.14929663897|22526000000.0|21.0|20.2|126.3|unknown
5785.14929663897|23534000000.0|40.0|20.2|306.3|unknown
12132.5223686345|23142000000.0|21.0|25.1|183.8|t-mobile
12132.5223686345|22358000000.0|60.0|20.4|3.8|t-mobile
1179.9155744505|37310000000.0|21.0|7.0|203.7|vodafone
1179.9155744505|38570000000.0|33.0|7.0|23.7|vodafone
7513.1979826464|23198000000.0|21.0|22.7|222.1|t-mobile
7513.1979826464|81500000000.0|62.0|34.9|42.0|t-mobile
1286.56218343138|37926000000.0|21.0|6.5|230.7|t-mobile
1286.56218343138|75750000000.0|31.0|28.4|50.7|t-mobile
7916.7501286307|31899000000.0|21.0|26.7|250.1|t-mobile
7916.7501286307|32711000000.0|37.0|22.6|70.0|t-mobile
1723.00387440129|12849000000.0|78.0|18.9|274.9|t-mobile
1723.00387440129|81875000000.0|35.0|22.9|94.9|t-mobile
2682.6019709023|32711000000.0|21.3|12.6|0.2|unknown
2682.6019709023|31899000000.0|35.0|12.6|180.2|unknown
3019.05825313076|38612000000.0|32.0|12.0|128.2|vodafone
3019.05825313076|37352000000.0|21.0|12.0|308.2|vodafone
1875.57996231381|31899000000.0|30.0|18.6|317.1|t-mobile
1875.57996231381|32711000000.0|28.0|12.6|137.1|t-mobile
4622.57489886118|39242000000.0|21.0|21.3|342.5|t-mobile
4622.57489886118|37982000000.0|40.0|21.3|162.5|t-mobile
13331.8659927471|19040000000.0|21.0|19.1|347.1|t-mobile
13331.8659927471|18360000000.0|107.0|19.0|167.1|t-mobile
1663.65076275903|71875000000.0|15.0|22.9|228.2|vodafone
1663.65076275903|37422000000.0|21.0|12.0|48.2|vodafone
3708.80962218837|32711000000.0|21.0|13.6|63.5|t-mobile
3708.80962218837|31899000000.0|25.0|13.6|243.5|t-mobile
11152.6653074557|81500000000.0|31.0|25.9|50.0|kpn
11152.6653074557|18360000000.0|25.0|18.0|230.1|kpn
3459.48904558944|32711000000.0|21.9|12.6|304.1|unknown
3459.48904558944|31899000000.0|37.0|12.6|124.1|unknown
26111.7243030145|19618000000.0|21.0|26.9|99.4|unknown
26111.7243030145|18608000000.0|65.0|26.9|279.6|unknown
1137.83640374783|19150000000.0|93.0|7.3|11.4|t-mobile
1137.83640374783|18140000000.0|15.0|7.3|191.4|t-mobile
3907.84126635022|71500000000.0|22.0|30.9|12.1|t-mobile
3907.84126635022|81500000000.0|30.0|30.9|192.1|t-mobile
6509.39959528083|81875000000.0|29.0|27.9|130.0|t-mobile
6509.39959528083|71875000000.0|46.5|27.9|310.1|t-mobile
1187.0705163626|13045000000.0|77.0|26.9|160.8|vodafone
1187.0705163626|39256000000.0|38.0|16.3|340.8|vodafone
